web-scraper-order,web-scraper-start-url,pagination,price,address,rooms_type_kvm
1681720076-863,https://www.boligportal.dk/lejeboliger/aarhus/,,8.900 kr.,"Aarhus N, Stockholmsgade",2 vær. · Lejlighed · 68 m²
1681720076-864,https://www.boligportal.dk/lejeboliger/aarhus/,,5.495 kr.,"Brabrand, Anna Anchers Gade",1 vær. · Lejlighed · 41 m²
1681720076-865,https://www.boligportal.dk/lejeboliger/aarhus/,,11.100 kr.,"Aarhus C, Vester Allé",3 vær. · Lejlighed · 69 m²
1681720076-866,https://www.boligportal.dk/lejeboliger/aarhus/,,3.900 kr.,"Aarhus N, Jens Baggesens Vej",1 vær. · Værelse · 22 m²
1681720076-867,https://www.boligportal.dk/lejeboliger/aarhus/,,10.350 kr.,"Hørning, Rådhuspladsen",3 vær. · Lejlighed · 97 m²
1681720076-868,https://www.boligportal.dk/lejeboliger/aarhus/,,4.628 kr.,"Aarhus C, Klostergade",1 vær. · Lejlighed · 31 m²
1681720076-869,https://www.boligportal.dk/lejeboliger/aarhus/,,15.495 kr.,"Aarhus C, Høegh-Guldbergs Gade",4 vær. · Lejlighed · 150 m²
1681720076-870,https://www.boligportal.dk/lejeboliger/aarhus/,,8.995 kr.,"Tilst, Honningvænget",3 vær. · Rækkehus · 82 m²
1681720076-871,https://www.boligportal.dk/lejeboliger/aarhus/,,10.000 kr.,"Risskov, Engholms Allé",3 vær. · Lejlighed · 89 m²
1681720076-872,https://www.boligportal.dk/lejeboliger/aarhus/,,2.988 kr.,"Aarhus C, Gustav Wieds Vej",1 vær. · Værelse · 7 m²
1681720076-873,https://www.boligportal.dk/lejeboliger/aarhus/,,7.195 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 53 m²
1681720076-874,https://www.boligportal.dk/lejeboliger/aarhus/,,9.595 kr.,"Harlev J, Rødlundvej",4 vær. · Rækkehus · 90 m²
1681720076-875,https://www.boligportal.dk/lejeboliger/aarhus/,,9.900 kr.,"Aarhus C, Valdemarsgade",3 vær. · Lejlighed · 80 m²
1681720076-876,https://www.boligportal.dk/lejeboliger/aarhus/,,6.200 kr.,"Aarhus V, Bronzealdervænget",2 vær. · Lejlighed · 40 m²
1681720076-877,https://www.boligportal.dk/lejeboliger/aarhus/,,8.500 kr.,"Aarhus N, Niels Juels Gade",3 vær. · Lejlighed · 67 m²
