website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms,geometry,StatistikdistriktNavn,counts
boligzonen.dk,2023,apartment,7995,60,8200,Brendstrupgårdsvej,Aarhus N,3,"LINESTRING (573576.7451190924 6228153.067454979, 573594.836501478 6228119.43430091, 573614.1730063523 6228082.121895742, 573651.3700099717 6228003.25794827, 573664.5303774682 6227977.573176332)",Stat dist: 05.22,170.0
boligzonen.dk,2023,apartment,5342,48,8000,Strandparken,Aarhus C,1,"LINESTRING (575015.8181114834 6222854.286006618, 575016.1809286324 6222848.417201197, 575016.3870747398 6222844.9878992215, 575015.7603905733 6222842.428420195, 575014.2019260013 6222838.959126361, 575007.3496293913 6222828.901173628, 575004.0595375173 6222823.6122501725, 575001.437359031 6222818.983192404, 574997.8009416965 6222811.024812309, 574994.9561254143 6222803.966249059, 574975.1166240381 6222738.849503385, 574971.5461734579 6222727.451823349, 574969.6331375812 6222721.303074909, 574968.0994105422 6222716.434065982, 574965.4854779004 6222711.415087581, 574962.6571533068 6222705.316328965, 574958.8310815534 6222700.017407546, 574955.1286974645 6222695.3683538465, 574948.8701016437 6222689.129623722, 574941.135499694 6222682.740924124, 574932.9638679967 6222677.362018984, 574924.3716982402 6222672.602987671, 574909.966208255 6222665.78437558)",Stat dist: 01.80,342.0
boligzonen.dk,2023,apartment,5600,48,8200,Skovvangsvej,Aarhus N,2,"LINESTRING (574856.7227916354 6226337.447019268, 574857.9679141241 6226355.943254412, 574858.0173891899 6226365.001410651, 574857.5803594422 6226375.149345068, 574856.9371835871 6226383.967550148, 574837.7820872874 6226470.799875679, 574834.6898956763 6226484.537079511)",Stat dist: 05.60,287.0
boligzonen.dk,2023,apartment,7944,56,8000,Fåborggade,Aarhus C,2,"LINESTRING (574749.4526031881 6222710.595254456, 574750.4998254137 6222701.307145023, 574751.316163999 6222693.0288300505, 574751.3656390648 6222690.599324569, 574749.89787878 6222688.349782457, 574747.1190292523 6222686.88008161, 574724.2945322408 6222684.800504902, 574721.2518156957 6222686.160228134, 574720.3530186673 6222687.959861824, 574719.6521219022 6222690.579328639, 574718.448228635 6222707.545875148)",Stat dist: 01.80,251.0
boligzonen.dk,2023,apartment,4700,35,8000,Assensgade,Aarhus C,1,"LINESTRING (574909.966208255 6222665.78437558, 574893.8538285005 6222657.925975135, 574880.1327435919 6222651.837214485, 574863.1215668091 6222645.298545412, 574838.2603462565 6222638.609906864, 574822.1891957235 6222636.540328122, 574802.8197074721 6222634.2208002545, 574791.1683294819 6222632.0612398265, 574780.4569777412 6222630.49155933, 574764.4188105854 6222627.07225532, 574735.8469600996 6222619.9137124205, 574715.5127080656 6222614.084898859, 574703.407808639 6222609.965737303, 574695.1289809657 6222606.336476028)",Stat dist: 01.80,223.0
boligzonen.dk,2023,apartment,3937,50,8000,Hjarnøgade,Aarhus C,1,"LINESTRING (574680.6327866933 6224635.193508047, 574675.9656388217 6224645.491411938, 574673.747506706 6224651.850117642, 574638.0430009041 6224711.098057895, 574598.4217190617 6224777.054632625)",Stat dist: 01.40,60.0
boligzonen.dk,2023,apartment,7500,51,8240,Arresøvej,Risskov,2,"LINESTRING (576359.6268647221 6229549.293257254, 576407.8732996982 6229569.059233947, 576442.8934004236 6229583.40631364)",Stat dist: 04.40,48.0
boligzonen.dk,2023,apartment,6700,50,8000,Eckersbergsgade,Aarhus C,2,"LINESTRING (574279.6703619536 6223627.82855427, 574279.5054450677 6223626.578808652, 574269.4207774935 6223565.33127541, 574264.003257791 6223534.097632928, 574263.9867661025 6223533.227809978, 574252.137487849 6223461.762356564, 574249.1195088367 6223447.085344028)",Stat dist: 01.70,167.0
boligzonen.dk,2023,apartment,8900,82,8000,Valdemarsgade,Aarhus C,3,"LINESTRING (574319.9513113397 6223375.829847878, 574340.8710183188 6223377.0795934955, 574346.3957339972 6223377.599487673)",Stat dist: 01.70,176.0
boligzonen.dk,2023,apartment,10195,76,8000,Grønnegade,Aarhus C,3,"LINESTRING (574761.1781937771 6224085.455405648, 574753.8641298865 6224108.570700596, 574740.9099084974 6224150.422181848, 574730.5283905286 6224187.1547050495, 574725.160345892 6224210.230008138, 574723.1648515722 6224219.478125711, 574719.0666669571 6224248.762165029, 574716.5929136684 6224271.617512889, 574712.7585960707 6224282.225353694, 574707.9595146903 6224325.536537827, 574704.6281935947 6224354.380666688, 574699.9115706574 6224366.008299917, 574655.3180447044 6224430.445183976, 574635.0662511133 6224460.019164278, 574586.984733023 6224527.245480555, 574554.6197941611 6224571.8963919915, 574506.1672130774 6224636.763188543, 574471.3862418367 6224684.223528128)",Stat dist: 01.40,536.0
boligzonen.dk,2023,apartment,11900,107,8000,Thit Jensens Gade,Aarhus C,4,"LINESTRING (576118.69978608 6225173.1340118125, 576154.8083382525 6225142.640218737, 576198.1484958725 6225108.537160316, 576226.0441871261 6225085.75179821)",Stat dist: 00.11,5.0
boligzonen.dk,2023,apartment,6800,49,8000,Dannebrogsgade,Aarhus C,2,"LINESTRING (574173.5793292406 6223000.406264262, 574203.6271858554 6222976.221187064, 574213.9179995368 6222968.5627459185, 574231.5146312646 6222955.465411843, 574257.761153659 6222954.445619418, 574287.1246051972 6222953.0858961865, 574324.3216088166 6222952.286058991, 574339.6094041415 6222951.916134289, 574341.85227379 6222950.416439546)",Stat dist: 01.90,140.0
boligzonen.dk,2023,apartment,12300,98,8000,Banegårdspladsen,Aarhus C,3,"LINESTRING (574749.7906828042 6223478.758896967, 574743.4413826963 6223461.792350459, 574740.8109583658 6223452.134316323, 574741.3964133109 6223440.546674955, 574742.0808183874 6223432.6182887545)",Stat dist: 01.70,94.0
boligzonen.dk,2023,apartment,6500,36,8200,Trøjborgvej,Aarhus N,1,"LINESTRING (575028.6239076752 6225711.74437923, 575030.3555349774 6225719.262848867, 575030.4544851088 6225723.402006354, 575021.2603687188 6225755.395494172, 574978.0274070746 6225888.458409601)",Stat dist: 01.00,258.0
boligzonen.dk,2023,room,4500,91,8000,Rudolph Wulffs Gade,Aarhus C,1,"LINESTRING (573694.7019217474 6222385.621401943, 573681.3601456764 6222385.961332751, 573674.6727659523 6222380.05253547, 573597.4009590541 6222296.389564825, 573565.5967376042 6222262.466469773, 573561.1934567501 6222256.527678597)",Stat dist: 02.00,250.0
