website,year,rental_type,rooms,square_meters,rent_without_expenses,area,street,zip_code
boligzonen.dk,2023,apartment,3,60,7995,Aarhus N,Brendstrupgårdsvej,8200
boligzonen.dk,2023,apartment,1,48,5342,Aarhus C,Strandparken,8000
boligzonen.dk,2023,apartment,2,48,5600,Aarhus N,Skovvangsvej,8200
boligzonen.dk,2023,apartment,2,56,7944,Aarhus C,Fåborggade,8000
boligzonen.dk,2023,apartment,1,35,4700,Aarhus C,Assensgade,8000
boligzonen.dk,2023,apartment,1,50,3937,Aarhus C,Hjarnøgade,8000
boligzonen.dk,2023,apartment,2,51,7500,Risskov,Arresøvej,8240
boligzonen.dk,2023,apartment,2,50,6700,Aarhus C,Eckersbergsgade,8000
boligzonen.dk,2023,apartment,3,82,8900,Aarhus C,Valdemarsgade,8000
boligzonen.dk,2023,apartment,3,76,10195,Aarhus C,Grønnegade,8000
boligzonen.dk,2023,apartment,4,107,11900,Aarhus C,Thit Jensens Gade,8000
boligzonen.dk,2023,apartment,2,49,6800,Aarhus C,Dannebrogsgade,8000
boligzonen.dk,2023,apartment,3,98,12300,Aarhus C,Banegårdspladsen,8000
boligzonen.dk,2023,apartment,1,36,6500,Aarhus N,Trøjborgvej,8200
boligzonen.dk,2023,room,1,91,4500,Aarhus C,Rudolph Wulffs Gade,8000
boligzonen.dk,2023,room,1,8,4955,Aarhus C,Thorvaldsensgade,8000
boligzonen.dk,2023,apartment,3,72,9900,Aarhus C,Vesterport,8000
boligzonen.dk,2023,apartment,3,74,9750,Aarhus C,Mejlgade,8000
boligzonen.dk,2023,apartment,3,81,9400,Aarhus C,Studsgade,8000
boligzonen.dk,2023,apartment,4,97,10775,Aarhus C,Skt. Pauls Kirkeplads,8000
boligzonen.dk,2023,room,1,10,3000,Aarhus C,Langelandsgade,8000
boligzonen.dk,2023,apartment,2,62,7995,Aarhus N,Olof Palmes Allé,8200
boligzonen.dk,2023,apartment,2,52,5800,Aarhus V,Vintervej,8210
boligzonen.dk,2023,apartment,3,80,8900,Aarhus C,Vestre Ringgade,8000
boligzonen.dk,2023,apartment,1,20,2400,Aarhus N,Funch Thomsens Gade,8200
boligzonen.dk,2023,apartment,2,74,5700,Aarhus C,Marselis Boulevard,8000
