website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
edc.dk,2023,apartment,9500,67,8000,Thorvaldsensgade, Aarhus C,2
edc.dk,2023,apartment,15600,142,8000,Guldsmedgade, Aarhus C,8
edc.dk,2023,apartment,7000,51,8000,Fiskergade, Aarhus C,1
edc.dk,2023,apartment,9750,74,8000,Mejlgade, Aarhus C,3
edc.dk,2023,apartment,10900,95,8230,Baldersgade, Åbyhøj,3
edc.dk,2023,apartment,7500,42,8000,Dirch, Aarhus C,1
edc.dk,2023,apartment,13150,102,8000,Fiskergade, Aarhus C,4
edc.dk,2023,apartment,15600,129,8000,Guldsmedgade, Aarhus C,3
edc.dk,2023,apartment,11960,105,8000,Mejlgade, Aarhus C,3
edc.dk,2023,apartment,8950,76,8260,Engtoften, Viby J,3
edc.dk,2023,apartment,8300,54,8200,Katrinebjergvej, Aarhus N,2
edc.dk,2023,apartment,9000,68,8200,Stockholmsgade, Aarhus N,2
edc.dk,2023,apartment,9300,69,8000,Fiskergade, Aarhus C,2
edc.dk,2023,apartment,11648,82,8000,Søren, Aarhus C,3
edc.dk,2023,apartment,11500,69,8000,Åboulevarden, Aarhus C,3
edc.dk,2023,apartment,9464,71,8230,Bifrostgade, Åbyhøj,2
edc.dk,2023,apartment,8000,50,8000,Åboulevarden, Aarhus C,2
edc.dk,2023,apartment,10088,73,8000,Dirch, Aarhus C,3
edc.dk,2023,apartment,15700,131,8230,Bestlasgade, Åbyhøj,4
edc.dk,2023,apartment,7785,62,8200,Tulipanhaven, Aarhus N,3
edc.dk,2023,apartment,7887,64,8200,Tulipanhaven, Aarhus N,3
edc.dk,2023,apartment,9360,71,8230,Bifrostgade, Åbyhøj,2
edc.dk,2023,apartment,9672,71,8230,Bifrostgade, Åbyhøj,3
edc.dk,2023,apartment,5670,39,8240,Brassøvej, Risskov,1
edc.dk,2023,apartment,8749,59,8230,Sifsgade, Åbyhøj,2
edc.dk,2023,apartment,12050,86,8000,Fiskergade, Aarhus C,3
edc.dk,2023,apartment,11950,86,8000,Fiskergade, Aarhus C,3
edc.dk,2023,apartment,7887,64,8200,Tulipanlunden, Aarhus N,3
edc.dk,2023,apartment,18000,153,8000,Sønder, Aarhus C,3
edc.dk,2023,apartment,8840,76,8260,Engtoften, Viby J,3
edc.dk,2023,apartment,8895,79,8240,Brassøvej, Risskov,3
edc.dk,2023,apartment,11000,64,8000,Åboulevarden, Aarhus C,3
edc.dk,2023,apartment,9000,65,8200,Malmøgade, Aarhus N,3
edc.dk,2023,apartment,9880,78,8230,Lokesvej, Åbyhøj,2
edc.dk,2023,apartment,12792,101,8230,Bestlasgade, Åbyhøj,4
edc.dk,2023,apartment,13231,112,8230,Sifsgade, Åbyhøj,4
edc.dk,2023,apartment,9710,68,8230,Sifsgade, Åbyhøj,3
edc.dk,2023,apartment,10795,99,8240,Brassøvej, Risskov,4
edc.dk,2023,apartment,11100,88,8230,Sifsgade, Åbyhøj,4
edc.dk,2023,apartment,9400,66,8000,Thorvaldsensgade, Aarhus C,2
edc.dk,2023,apartment,12792,101,8230,Bestlasgade, Åbyhøj,4
edc.dk,2023,apartment,9395,56,8000,Østergade, Aarhus C,2
edc.dk,2023,apartment,7785,62,8200,Tulipanhaven, Aarhus N,3
edc.dk,2023,apartment,7375,52,8200,Tulipanlunden, Aarhus N,2
edc.dk,2023,apartment,17900,151,8000,Søndergade, Aarhus C,4
edc.dk,2023,apartment,11300,88,8230,Sifsgade, Åbyhøj,4
edc.dk,2023,apartment,8400,62,8230,Lokesvej, Åbyhøj,2
edc.dk,2023,apartment,8500,62,8230,Lokesvej, Åbyhøj,2
edc.dk,2023,apartment,13800,107,8000,Amaliegade, Aarhus C,2
edc.dk,2023,apartment,7887,64,8200,Tulipanlunden, Aarhus N,3
edc.dk,2023,apartment,9214,56,8000,Østergade, Aarhus C,3
edc.dk,2023,apartment,10695,98,8240,Brassøvej, Risskov,4
edc.dk,2023,apartment,10199,90,8240,Brassøvej, Risskov,4
edc.dk,2023,apartment,8185,67,8240,Brassøvej, Risskov,3
edc.dk,2023,apartment,7895,63,8240,Brassøvej, Risskov,3
edc.dk,2023,apartment,7285,52,8240,Brassøvej, Risskov,2
edc.dk,2023,apartment,10800,66,8000,Thorvaldsensgade, Aarhus C,3
edc.dk,2023,apartment,10700,66,8000,Thorvaldsensgade, Aarhus C,3
edc.dk,2023,apartment,10600,98,8210,Klokkerbakken, Aarhus V,2
edc.dk,2023,apartment,12900,118,8210,Ryhavevej, Aarhus V,4
edc.dk,2023,apartment,9200,72,8210,Klokkerbakken, Aarhus V,3
edc.dk,2023,apartment,9200,69,8000,Fiskergade, Aarhus C,2
edc.dk,2023,apartment,8600,61,8230,Lokesvej, Åbyhøj,2
edc.dk,2023,apartment,11950,86,8000,Fiskergade, Aarhus C,3
edc.dk,2023,apartment,9395,56,8000,Østergade, Aarhus C,2
edc.dk,2023,apartment,14900,106,8000,Østergade, Aarhus C,4
edc.dk,2023,apartment,12950,94,8000,Fiskergade, Aarhus C,3
edc.dk,2023,apartment,9300,70,8000,Fiskergade, Aarhus C,2
edc.dk,2023,apartment,10600,66,8000,Thorvaldsensgade, Aarhus C,3
edc.dk,2023,apartment,11000,94,8200,Randersvej, Aarhus N,3
edc.dk,2023,apartment,10500,80,8200,Stockholmsgade, Aarhus N,3
edc.dk,2023,apartment,10500,87,8200,Randersvej, Aarhus N,3
edc.dk,2023,apartment,8800,70,8200,Randersvej, Aarhus N,2
edc.dk,2023,apartment,5158,24,8000,Ny, Aarhus C,1
edc.dk,2023,apartment,4621,36,8000,Jægergårdsgade, Aarhus C,1
edc.dk,2023,apartment,5975,38,8240,Kantorvænget, Risskov,1
edc.dk,2023,apartment,7850,65,8200,Tordenskjoldsgade, Aarhus N,2
edc.dk,2023,apartment,13200,113,8000,Banegårdsgade, Aarhus C,5
edc.dk,2023,apartment,15180,114,8000,Sonnesgade, Aarhus C,4
edc.dk,2023,apartment,5650,54,8270,Oddervej, Højbjerg,2
edc.dk,2023,apartment,9980,73,8000,Finderupvej, Aarhus C,3
edc.dk,2023,apartment,9575,98,8240,Sletterhagevej, Risskov,4
edc.dk,2023,apartment,10500,61,8000,Valdemarsgade, Aarhus C,2
edc.dk,2023,apartment,9150,105,8355,Hasselvangen, Solbjerg,4
edc.dk,2023,apartment,9600,78,8260,Søndervangs, Viby J,3
