website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
minlejebolig.dk,2023,apartment,7944,56,8000,Fåborggade,Aarhus C,2
minlejebolig.dk,2023,apartment,6700,50,8000,Eckersbergsgade,Aarhus C,2
minlejebolig.dk,2023,apartment,4250,45,8000,Molsgade,Aarhus C,2
minlejebolig.dk,2023,apartment,5342,48,8000,Strandparken,Aarhus C,1
minlejebolig.dk,2023,apartment,8800,87,8000,Frederiksbjerg,Aarhus C,3
minlejebolig.dk,2023,apartment,9750,74,8000,Mejlgade,Aarhus C,3
minlejebolig.dk,2023,apartment,8395,85,8520,Abildhaven,Lystrup,3
minlejebolig.dk,2023,apartment,10300,90,8240,Kværnloftet,Risskov,3
minlejebolig.dk,2023,apartment,8850,63,8000,Ceresbyen,Aarhus C,2
minlejebolig.dk,2023,apartment,7000,51,8000,Fiskergade,Aarhus C,1
minlejebolig.dk,2023,apartment,9400,81,8000,Studsgade,Aarhus C,3
minlejebolig.dk,2023,apartment,4500,12,8000,Amaliegade,Aarhus C,1
minlejebolig.dk,2023,apartment,13400,91,8200,Jens Baggesens Vej,Aarhus N,4
minlejebolig.dk,2023,apartment,8876,70,8200,Lyøgade,Aarhus N,3
minlejebolig.dk,2023,apartment,8800,77,8200,Skejbyparken ,Aarhus N,4
minlejebolig.dk,2023,apartment,4950,31,8240,Vestre Strandallé,Risskov,1
minlejebolig.dk,2023,apartment,10495,84,8000,Guldsmedgade,Aarhus C,2
minlejebolig.dk,2023,apartment,9692,79,8000,Sønder Allé,Aarhus C,3
minlejebolig.dk,2023,apartment,8000,50,8000,Åboulevarden,Aarhus C,2
minlejebolig.dk,2023,apartment,13450,89,8000,Søren Frichs Vej,Aarhus C,3
minlejebolig.dk,2023,apartment,12325,105,8230,Lokesvej,Åbyhøj,3
minlejebolig.dk,2023,apartment,10995,85,8000,Sønderport,Aarhus C,3
minlejebolig.dk,2023,apartment,10500,92,8240,Nordre Strandvej,Risskov,9
minlejebolig.dk,2023,apartment,5670,39,8240,Brassøvej,Risskov,1
minlejebolig.dk,2023,apartment,10500,76,8000,Ceres Allé,Aarhus C,2
minlejebolig.dk,2023,apartment,7000,62,8200,Ivar Huitfeldts Gade,Aarhus N,2
minlejebolig.dk,2023,apartment,12095,89,8000,Ålborggade,Aarhus C,3
minlejebolig.dk,2023,apartment,12800,96,8000,Thit Jensens Gade,Aarhus C,4
minlejebolig.dk,2023,apartment,9495,94,8000,Marstrandsgade,Aarhus C,4
minlejebolig.dk,2023,apartment,8995,55,8000,Amaliegade,Aarhus C,2
minlejebolig.dk,2023,apartment,9500,73,8000,Frederiks Alle,Aarhus C,2
minlejebolig.dk,2023,apartment,4500,94,8000,Kjeld Tolstrupsgade,Aarhus C,1
minlejebolig.dk,2023,apartment,13595,108,8270,Emiliedalen,Højbjerg,4
minlejebolig.dk,2023,apartment,8200,63,8000,østboulevarden,Aarhus C,2
minlejebolig.dk,2023,apartment,11100,81,8000,Tommy Seebachs Gade,Aarhus C,3
minlejebolig.dk,2023,apartment,9900,103,8000,Daugbjergvej,Aarhus C,3
minlejebolig.dk,2023,apartment,7500,60,8000,Mejlgade,Aarhus C,2
minlejebolig.dk,2023,apartment,9695,94,8000,Marstrandsgadse,Aarhus C,4
minlejebolig.dk,2023,apartment,7000,60,8000,Skanderborgvej,Aarhus C,2
minlejebolig.dk,2023,apartment,9400,66,8000,Thorvaldsensgade,Aarhus C,2
minlejebolig.dk,2023,apartment,13640,97,8000,Tommy Seebachs Gade,Aarhus C,4
minlejebolig.dk,2023,apartment,10300,72,8000,Ceresbyen,Aarhus C,3
minlejebolig.dk,2023,apartment,6700,42,8240,Arresøvej,Risskov,2
minlejebolig.dk,2023,apartment,7800,63,8230,Bestlasgade,Åbyhøj,1
minlejebolig.dk,2023,apartment,7995,57,8230,Søren Frichs Vej,Åbyhøj,2
minlejebolig.dk,2023,apartment,6174,49,8240,Eya Jensens Gade,Risskov,2
minlejebolig.dk,2023,apartment,7400,48,8200,Jens Baggesens Vej,Aarhus N,2
minlejebolig.dk,2023,apartment,9900,71,8000,morten børups gade,Aarhus C,3
minlejebolig.dk,2023,apartment,7999,55,8000,Gebauersgade,Aarhus C,2
minlejebolig.dk,2023,apartment,8400,60,8240,Børglumvej,Risskov,3
minlejebolig.dk,2023,apartment,6595,51,8240,Tove Ditlevsens Gade,Risskov,2
minlejebolig.dk,2023,apartment,4805,33,8000,Fredensgade,Aarhus C,1
minlejebolig.dk,2023,apartment,10628,91,8260,Søndervangs Allé,Viby J,4
minlejebolig.dk,2023,apartment,6995,49,8000,Vester Allé,Aarhus C,2
minlejebolig.dk,2023,apartment,9200,82,8240,Broloftet,Risskov,3
minlejebolig.dk,2023,apartment,7900,66,8000,Vester Allé,Aarhus C,2
minlejebolig.dk,2023,apartment,7500,42,8000,Dirch Passers Gade,Aarhus C,1
minlejebolig.dk,2023,apartment,11395,85,8240,Møllehatten,Risskov,4
minlejebolig.dk,2023,apartment,9411,80,8200,Olof Palmes Allé,Aarhus N,3
minlejebolig.dk,2023,apartment,8300,64,8240,Arresøvej,Risskov,3
minlejebolig.dk,2023,apartment,10685,85,8240,Eya Jensens Gade,Risskov,4
minlejebolig.dk,2023,apartment,7995,62,8240,Dagmar Hansens Gade,Risskov,3
minlejebolig.dk,2023,apartment,7670,60,8240,Doris Kæraas Gade,Risskov,2
minlejebolig.dk,2023,apartment,11250,87,8200,Langelandsgade,Aarhus N,4
minlejebolig.dk,2023,apartment,7564,60,8240,Eya Jensens Gade,Risskov,2
minlejebolig.dk,2023,apartment,12015,89,8240,Solbakken,Risskov,3
minlejebolig.dk,2023,apartment,4995,32,8200,Olof Palmes Allé,Aarhus N,1
minlejebolig.dk,2023,apartment,15000,121,8000,Amaliegade,Aarhus C,2
minlejebolig.dk,2023,apartment,7160,67,8000,Nordborggade,Aarhus C,2
minlejebolig.dk,2023,apartment,7995,57,8000,Daubjergvej,Aarhus C,2
minlejebolig.dk,2023,apartment,11645,102,8240,Ellen Jensens Gade,Risskov,3
minlejebolig.dk,2023,apartment,10380,83,8000,Rosenkrantzgade,Aarhus C,3
minlejebolig.dk,2023,apartment,8850,77,8240,Dagmar Hansens Gade,Risskov,3
minlejebolig.dk,2023,apartment,10800,85,8240,Vindrosen,Risskov,1
minlejebolig.dk,2023,apartment,11500,69,8000,Åboulevarden,Aarhus C,3
minlejebolig.dk,2023,apartment,11237,108,8260,Engtoften,Viby J,3
minlejebolig.dk,2023,apartment,10280,91,8240,Broloftet,Risskov,3
minlejebolig.dk,2023,apartment,7804,61,8240,Doris Kæraas Gade,Risskov,3
minlejebolig.dk,2023,apartment,16215,162,8000,Orla Lehmanns Allé,Aarhus C,6
minlejebolig.dk,2023,apartment,7777,64,8240,Eya Jensens Gade,Risskov,2
minlejebolig.dk,2023,apartment,11834,105,8260,Engtoften,Viby J,4
minlejebolig.dk,2023,apartment,11929,92,8000,Skolegade,Aarhus C,4
minlejebolig.dk,2023,apartment,3000,30,8270,Christian x’s vej,Højbjerg,1
minlejebolig.dk,2023,apartment,9615,85,8000,Orla Lehmanns Allé,Aarhus C,3
