web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829035-1,https://boligzonen.dk/lejebolig/aarhus,7.995,"Brendstrupgårdsvej, Aarhus N",Lejlighed / 3 vær. / 60 m2
1684829035-2,https://boligzonen.dk/lejebolig/aarhus,5.342,"Strandparken , Aarhus C",Lejlighed / 1 vær. / 48 m2
1684829035-3,https://boligzonen.dk/lejebolig/aarhus,5.600,"Skovvangsvej, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829035-4,https://boligzonen.dk/lejebolig/aarhus,7.944,"Fåborggade, Aarhus C",Lejlighed / 2 vær. / 56 m2
1684829035-5,https://boligzonen.dk/lejebolig/aarhus,4.700,"Assensgade, Aarhus C",Lejlighed / 1 vær. / 35 m2
1684829035-6,https://boligzonen.dk/lejebolig/aarhus,3.937,"Hjarnøgade, Aarhus C",Lejlighed / 1 vær. / 50 m2
1684829035-7,https://boligzonen.dk/lejebolig/aarhus,7.500,"Arresøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829035-8,https://boligzonen.dk/lejebolig/aarhus,6.700,"Eckersbergsgade, Aarhus C",Lejlighed / 2 vær. / 50 m2
1684829035-9,https://boligzonen.dk/lejebolig/aarhus,8.900,"Valdemarsgade, Aarhus C",Lejlighed / 3 vær. / 82 m2
1684829035-10,https://boligzonen.dk/lejebolig/aarhus,10.195,"Grønnegade, Aarhus C",Lejlighed / 3 vær. / 76 m2
1684829035-11,https://boligzonen.dk/lejebolig/aarhus,11.900,"Thit Jensens Gade, Aarhus C",Lejlighed / 4 vær. / 107 m2
1684829035-12,https://boligzonen.dk/lejebolig/aarhus,6.800,"Dannebrogsgade, Aarhus C",Lejlighed / 2 vær. / 49 m2
1684829035-13,https://boligzonen.dk/lejebolig/aarhus,12.300,"Banegårdspladsen, Aarhus C",Lejlighed / 3 vær. / 98 m2
1684829035-14,https://boligzonen.dk/lejebolig/aarhus,6.500,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
