web-scraper-order,web-scraper-start-url,pagination,prices,address,zip_code,rooms_kvm
"1684830206-1","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 - 18.000 kr./md.","Regina-bygningen","8000 Aarhus C","5/2 rum, 95 - 135 m²"
"1684830206-2","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.500 kr./md.","Thorvaldsensgade 26C, 1. 5","8000 Aarhus C","2 rum, 67 m²"
"1684830206-3","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.600 kr./md.","Guldsmedgade 22B 2","8000 Aarhus C","8 rum, 142 m²"
"1684830206-4","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.000 kr./md.","Fiskergade 41 ST 6","8000 Aarhus C","1 rum, 51 m²"
"1684830206-5","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.750 kr./md.","Mejlgade 41 3 TH","8000 Aarhus C","3 rum, 74 m²"
"1684830206-6","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.900 kr./md.","Baldersgade 33 1 th","8230 Åbyhøj","3 rum, 95 m²"
"1684830206-7","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.500 kr./md.","Dirch Passers Gade 3 6 4","8000 Aarhus C","1 rum, 42 m²"
"1684830206-8","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.150 kr./md.","Fiskergade 39 1 1","8000 Aarhus C","4 rum, 102 m²"
"1684830206-9","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.600 kr./md.","Guldsmedgade 22B 3","8000 Aarhus C","3 rum, 129 m²"
"1684830206-10","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.960 kr./md.","Mejlgade 41 1 TV","8000 Aarhus C","3 rum, 105 m²"
"1684830206-11","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Engtoften 3 ST 18","8260 Viby J","3 rum, 76 m²"
"1684830206-12","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Katrinebjergvej 48 1 5","8200 Aarhus N","2 rum, 54 m²"
"1684830206-13","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.000 kr./md.","Stockholmsgade 2E 1 3","8200 Aarhus N","2 rum, 68 m²"
"1684830206-14","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Fiskergade 41 2 2","8000 Aarhus C","2 rum, 69 m²"
"1684830206-15","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.648 kr./md.","Søren Frichs Vej 9 5 th","8000 Aarhus C","3 rum, 82 m²"
"1684830206-16","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 kr./md.","Åboulevarden 80, 6. 4","8000 Aarhus C","3 rum, 69 m²"
"1684830206-17","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.464 kr./md.","Bifrostgade 7 3 4","8230 Åbyhøj","2 rum, 71 m²"
