website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
boligportal.dk,2014,apartment,15950,116,8000,Søren Frichs Vej,,3
boligportal.dk,2014,apartment,14950,108,8000,Søren Frichs Vej,,3
boligportal.dk,2014,apartment,14200,118,8000,Thunøgade,,3
boligportal.dk,2014,apartment,13000,100,8200,Tordenskjoldsgade,,4
boligportal.dk,2014,apartment,13000,145,8000,Hendrik Pontoppidans Gade,,4
boligportal.dk,2014,apartment,13000,105,8000,Trepkasgade,,3
boligportal.dk,2014,apartment,12900,112,8000,Grønnegade,,4
boligportal.dk,2014,apartment,12000,101,8000,Skolegyde,,4
boligportal.dk,2014,apartment,11980,106,8000,Frederiksgade,,3
boligportal.dk,2014,apartment,11551,108,8000,Frederiksgade,,3
boligportal.dk,2014,apartment,11150,114,8000,Chr. Wærums Gade,,4
boligportal.dk,2014,apartment,11050,82,8000,Marianne Thomsens Gade,,2
boligportal.dk,2014,apartment,10900,113,8000,Borggade,,3
boligportal.dk,2014,apartment,10750,92,8000,Kirkegårdsvej,,3
boligportal.dk,2014,apartment,10750,118,8000,Østergade,,3
boligportal.dk,2014,apartment,10400,118,8270,Skåde Skovvej,,3
boligportal.dk,2014,apartment,10250,82,8000,Marianne Thomsens Gade,,2
boligportal.dk,2014,apartment,9500,99,8000,Assensgade,,4
boligportal.dk,2014,apartment,9500,76,8000,Hjelmensgade,,3
boligportal.dk,2014,apartment,9500,51,8000,Vestre Ringgade,,2
boligportal.dk,2014,apartment,9500,97,8000,Thorvaldsensgade,,3
boligportal.dk,2014,apartment,9475,95,8000,Vestergade,,3
boligportal.dk,2014,apartment,9250,95,8270,Emiliedalsvej,,3
boligportal.dk,2014,apartment,9200,89,8000,Frederiksgade,,3
boligportal.dk,2014,apartment,9167,74,8000,Østergade,,2
boligportal.dk,2014,apartment,9000,103,8000,Harald Skovbys Gade,,3
boligportal.dk,2014,apartment,9000,105,8000,Frederiks Allé,,3
boligportal.dk,2014,apartment,9000,84,8000,Haderslevgade,,3
boligportal.dk,2014,apartment,8975,85,8000,Stadion Allé,,3
boligportal.dk,2014,apartment,8942,83,8000,Langenæs Allé,,3
boligportal.dk,2014,apartment,8900,110,8000,Horsensgade,,3
boligportal.dk,2014,apartment,8820,75,8000,Frederiks Allé,,3
