website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
boligportal.dk,2014,apartment,6030,53,8000,Ny Munkegade,Aarhus C,2
boligportal.dk,2014,apartment,8245,89,8220,Hoffmannsvej,Brabrand,4
boligportal.dk,2014,apartment,8950,88,8000,Nørre Allé,Aarhus C,3
boligportal.dk,2014,apartment,11500,106,8000,Stadion Allé,Aarhus C,4
boligportal.dk,2014,apartment,7320,69,8000,Søndre Ringgade,Aarhus C,2
boligportal.dk,2014,room,2500,13,8000,Vestergade,Aarhus C,1
boligportal.dk,2014,apartment,5500,64,8000,Vestervang,Aarhus C,2
boligportal.dk,2014,room,3900,15,8000,Thorvaldsensgade,Aarhus C,1
boligportal.dk,2014,apartment,9448,86,8000,Fynsgade,Aarhus C,3
boligportal.dk,2014,room,3200,25,8200,Dronning Margrethes Vej,Aarhus N,1
boligportal.dk,2014,apartment,7220,77,8230,Tousvej,Åbyhøj,3
boligportal.dk,2014,apartment,7100,81,8220,Helenelyst,Brabrand,3
boligportal.dk,2014,apartment,7316,93,8270,Holmevej,Højbjerg,4
boligportal.dk,2014,room,3200,15,8200,Lyøgade,Aarhus N,1
boligportal.dk,2014,room,3000,12,8000,Nørregade,Aarhus C,1
boligportal.dk,2014,room,3800,16,8000,Vestre Ringgade,Aarhus C,1
boligportal.dk,2014,room,4300,10,8210,Haslehøjvej,Aarhus V,1
boligportal.dk,2014,apartment,6000,85,8220,Sigridsvej,Brabrand,4
boligportal.dk,2014,apartment,9296,86,8000,Skolegade,Aarhus C,2
boligportal.dk,2014,apartment,4900,45,8200,Skejbybakkevej,Aarhus N,2
boligportal.dk,2014,room,4400,21,8000,Rudolph Wulffs Gade,Aarhus C,1
boligportal.dk,2014,apartment,8750,64,8000,Carl Blochs Gade,Aarhus C,2
boligportal.dk,2014,room,3900,12,8000,Åhusene,Aarhus C,1
boligportal.dk,2014,apartment,8200,62,8200,Brendstrupgårdsvej,Aarhus N,2
boligportal.dk,2014,apartment,6600,66,8000,Kongsvang Alle,Aarhus C,2
boligportal.dk,2014,apartment,5720,62,8000,Rudolph Wulffs Gade,Aarhus C,2
boligportal.dk,2014,apartment,6900,60,8000,Thorvaldsensgade,Aarhus C,2
boligportal.dk,2014,apartment,7500,65,8000,Assensgade,Aarhus C,2
boligportal.dk,2014,apartment,8000,79,8000,Jægergårdsgade,Aarhus C,3
boligportal.dk,2014,room,3900,20,8000,Havnegade,Aarhus C,1
boligportal.dk,2014,room,3300,17,8260,Vårkjærvej,Viby J,1
boligportal.dk,2014,apartment,5900,51,8200,Skejbyparken,Aarhus N,2
boligportal.dk,2014,room,4000,24,8240,Nordre Strandvej,Risskov,1
boligportal.dk,2014,apartment,4300,28,8000,Skanderborgvej,Aarhus C,1
boligportal.dk,2014,apartment,7950,71,8000,Gebauersgade,Aarhus C,2
boligportal.dk,2014,room,3836,12,8200,Brendstrupgårdsvej,Aarhus N,1
boligportal.dk,2014,apartment,7500,93,8250,Brobjerg Parkvej,Egå,3
