web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-1","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.944,- pr. mdr.","Fåborggade, Århus C","56 m²","2 vær."
"1684834100-2","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.700,- pr. mdr.","Eckersbergsgade, Århus C","50 m²","2 vær."
"1684834100-3","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.250,- pr. mdr.","Molsgade, Århus C","45 m²","2 vær."
"1684834100-4","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.342,- pr. mdr.","Strandparken, Århus C","48 m²","1 vær."
"1684834100-5","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Frederiksbjerg, Århus C","87 m²","3 vær."
"1684834100-6","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.750,- pr. mdr.","Mejlgade, Århus C","74 m²","3 vær."
"1684834100-7","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","85 m²","3 vær."
"1684834100-8","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.300,- pr. mdr.","Kværnloftet, Risskov","90 m²","3 vær."
"1684834100-9","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.850,- pr. mdr.","Ceresbyen, Århus C","63 m²","2 vær."
"1684834100-10","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.000,- pr. mdr.","Fiskergade, Århus C","51 m²","1 vær."
"1684834100-11","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Studsgade, Århus C","81 m²","3 vær."
"1684834100-12","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.500,- pr. mdr.","Amaliegade, Århus C","12 m²","1 vær."
"1684834100-13","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.400,- pr. mdr.","Jens Baggesens Vej, Århus N","91 m²","4 vær."
"1684834100-14","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.876,- pr. mdr.","Lyøgade, Århus N","70 m²","3 vær."
"1684834100-15","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Skejbyparken , Århus N","77 m²","4 vær."
"1684834100-16","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.950,- pr. mdr.","Vestre Strandallé, Risskov","31 m²","1 vær."
"1684834100-17","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.495,- pr. mdr.","Guldsmedgade, Århus C","84 m²","2 vær."
"1684834100-18","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.692,- pr. mdr.","Sønder Allé, Århus C","79 m²","3 vær."
"1684834100-19","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.000,- pr. mdr.","Åboulevarden, Århus C","50 m²","2 vær."
"1684834100-20","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.450,- pr. mdr.","Søren Frichs Vej, Århus C","89 m²","3 vær."
"1684834100-21","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.325,- pr. mdr.","Lokesvej, Åbyhøj","105 m²","3 vær."
"1684834100-22","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.995,- pr. mdr.","Sønderport, Århus C","85 m²","3 vær."
"1684834100-23","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.500,- pr. mdr.","Nordre Strandvej, Risskov","92 m²","9 vær."
"1684834100-24","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.670,- pr. mdr.","Brassøvej, Risskov","39 m²","1 vær."
"1684834100-25","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.500,- pr. mdr.","Ceres Allé, Århus C","76 m²","2 vær."
"1684834100-26","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.000,- pr. mdr.","Ivar Huitfeldts Gade, Århus N","62 m²","2 vær."
"1684834100-27","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.095,- pr. mdr.","Ålborggade, Århus C","89 m²","3 vær."
"1684834100-28","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.800,- pr. mdr.","Thit Jensens Gade, Århus C","96 m²","4 vær."
"1684834100-29","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.495,- pr. mdr.","Marstrandsgade, Århus C","94 m²","4 vær."
"1684834100-30","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.995,- pr. mdr.","Amaliegade, Århus C","55 m²","2 vær."
"1684834100-31","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Frederiks Alle, Århus C","73 m²","2 vær."
"1684834100-32","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.500,- pr. mdr.","Kjeld Tolstrupsgade, Århus C","94 m²","1 vær."
"1684834100-33","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.595,- pr. mdr.","Emiliedalen, Højbjerg","108 m²","4 vær."
"1684834100-34","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.200,- pr. mdr.","østboulevarden, Århus C","63 m²","2 vær."
"1684834100-35","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.100,- pr. mdr.","Tommy Seebachs Gade, Århus C","81 m²","3 vær."
"1684834100-36","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","Daugbjergvej, Århus C","103 m²","3 vær."
"1684834100-37","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Mejlgade, Århus C","60 m²","2 vær."
"1684834100-38","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.695,- pr. mdr.","Marstrandsgadse, Århus C","94 m²","4 vær."
"1684834100-39","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.000,- pr. mdr.","Skanderborgvej, Århus C","60 m²","2 vær."
"1684834100-40","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Thorvaldsensgade, Århus C","66 m²","2 vær."
"1684834100-41","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.640,- pr. mdr.","Tommy Seebachs Gade, Århus C","97 m²","4 vær."
"1684834100-42","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.300,- pr. mdr.","Ceresbyen, Århus C","72 m²","3 vær."
