web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-863,,8.900 kr.,"Aarhus N, Stockholmsgade",2 vær. · Lejlighed · 68 m²
1681720076-864,,5.495 kr.,"Brabrand, Anna Anchers Gade",1 vær. · Lejlighed · 41 m²
1681720076-865,,11.100 kr.,"Aarhus C, Vester Allé",3 vær. · Lejlighed · 69 m²
1681720076-866,,3.900 kr.,"Aarhus N, Jens Baggesens Vej",1 vær. · Værelse · 22 m²
1681720076-867,,10.350 kr.,"Hørning, Rådhuspladsen",3 vær. · Lejlighed · 97 m²
1681720076-868,,4.628 kr.,"Aarhus C, Klostergade",1 vær. · Lejlighed · 31 m²
1681720076-869,,15.495 kr.,"Aarhus C, Høegh-Guldbergs Gade",4 vær. · Lejlighed · 150 m²
1681720076-870,,8.995 kr.,"Tilst, Honningvænget",3 vær. · Rækkehus · 82 m²
1681720076-871,,10.000 kr.,"Risskov, Engholms Allé",3 vær. · Lejlighed · 89 m²
1681720076-872,,2.988 kr.,"Aarhus C, Gustav Wieds Vej",1 vær. · Værelse · 7 m²
1681720076-873,,7.195 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 53 m²
1681720076-874,,9.595 kr.,"Harlev J, Rødlundvej",4 vær. · Rækkehus · 90 m²
1681720076-875,,9.900 kr.,"Aarhus C, Valdemarsgade",3 vær. · Lejlighed · 80 m²
1681720076-876,,6.200 kr.,"Aarhus V, Bronzealdervænget",2 vær. · Lejlighed · 40 m²
1681720076-877,,8.500 kr.,"Aarhus N, Niels Juels Gade",3 vær. · Lejlighed · 67 m²
1681720076-878,,1.900 kr.,"Aarhus N, Steen Billes Gade",1 vær. · Værelse · 10 m²
1681720076-879,,8.800 kr.,"Sabro, Rønnevangen",4 vær. · Rækkehus · 93 m²
1681720076-880,,11.500 kr.,"Aarhus N, Funch Thomsens Gade",4 vær. · Lejlighed · 102 m²
1681720076-881,,7.450 kr.,"Aarhus N, Randersvej",2 vær. · Lejlighed · 55 m²
1681720076-882,,6.200 kr.,"Tilst, Sortevej",4 vær. · Lejlighed · 92 m²
1681720076-883,,3.200 kr.,"Viby J, Bernstorffsvej",1 vær. · Værelse · 16 m²
1681720076-884,,10.750 kr.,"Skødstrup, Skødstrupbakken",4 vær. · Rækkehus · 117 m²
1681720076-885,,10.000 kr.,"Hørning, sønderskovvej",6 vær. · Hus · 208 m²
1681720076-886,,12.500 kr.,"Aarhus C, Ålborggade",4 vær. · Lejlighed · 108 m²
1681720076-887,,8.200 kr.,"Højbjerg, Holmevej",4 vær. · Lejlighed · 82 m²
1681720076-888,,8.200 kr.,"Aarhus N, Marius Simonsens Vej",3 vær. · Lejlighed · 67 m²
1681720076-889,,5.800 kr.,"Viby J, Christian X's Vej",2 vær. · Lejlighed · 60 m²
1681720076-890,,7.398 kr.,"Brabrand, Inger Christensens Gade",3 vær. · Lejlighed · 66 m²
1681720076-891,,5.000 kr.,"Aarhus C, Rudolph Wulffs Gade",2 vær. · Værelse · 35 m²
1681720076-892,,8.155 kr.,"Viby J, Drosbjerg",3 vær. · Lejlighed · 67 m²
1681720076-893,,4.995 kr.,"Viby J, Engtoften",1 vær. · Lejlighed · 44 m²
1681720076-894,,7.250 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 54 m²
1681720076-895,,8.250 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 60 m²
1681720076-896,,5.194 kr.,"Viby J, Engtoften",1 vær. · Lejlighed · 45 m²
1681720076-897,,8.950 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 76 m²
1681720076-898,,15.500 kr.,"Aarhus C, Valdemars Have",3 vær. · Lejlighed · 117 m²
1681720076-899,,6.895 kr.,"Risskov, Tove Ditlevsens Gade",2 vær. · Lejlighed · 57 m²
1681720076-900,,4.500 kr.,"Aarhus N, Peder Skrams Gade",1 vær. · Lejlighed · 18 m²
1681720076-901,,7.995 kr.,"Aarhus N, Edouard Suensons Gade",2 vær. · Lejlighed · 50 m²
1681720076-902,,14.000 kr.,"Aarhus C, Helga Pedersens Gade",2 vær. · Lejlighed · 60 m²
1681720076-903,,11.995 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 68 m²
1681720076-904,,7.595 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 51 m²
1681720076-905,,11.400 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 106 m²
1681720076-906,,7.995 kr.,"Viby J, Skanderborgvej",3 vær. · Lejlighed · 77 m²
1681720076-907,,1.752 kr.,"Aarhus C, M. P. Bruuns Gade",1 vær. · Værelse · 11 m²
1681720076-908,,11.250 kr.,"Sabro, Rønnevangen",5 vær. · Rækkehus · 125 m²
1681720076-909,,13.500 kr.,"Aarhus C, Thorvaldsensgade",4 vær. · Lejlighed · 97 m²
1681720076-910,,9.250 kr.,"Brabrand, Truevej",3 vær. · Lejlighed · 73 m²
1681720076-911,,9.950 kr.,"Aarhus C, Åboulevarden",3 vær. · Lejlighed · 66 m²
1681720076-912,,8.695 kr.,"Brabrand, Truevej",3 vær. · Lejlighed · 70 m²
1681720076-913,,9.795 kr.,"Aarhus C, Thorvaldsensgade",2 vær. · Lejlighed · 68 m²
1681720076-914,,8.800 kr.,"Aarhus N, Skejbyparken",4 vær. · Lejlighed · 77 m²
1681720076-915,,10.845 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 92 m²
1681720076-916,,10.702 kr.,"Aarhus N, Tordenskjoldsgade",3 vær. · Lejlighed · 87 m²
1681720076-917,,8.900 kr.,"Aarhus V, Hammershusvej",4 vær. · Lejlighed · 79 m²
1681720076-918,,3.102 kr.,"Brabrand, Karen Blixens Boulevard",1 vær. · Værelse · 35 m²
1681720076-919,,12.995 kr.,"Aarhus C, Janus La Cours Gade",3 vær. · Lejlighed · 97 m²
1681720076-920,,5.965 kr.,"Aarhus C, Tøndergade",2 vær. · Lejlighed · 57 m²
1681720076-921,,7.495 kr.,"Risskov, Borresøvej",2 vær. · Lejlighed · 58 m²
1681720076-922,,5.895 kr.,"Risskov, Møllehatten",1 vær. · Lejlighed · 44 m²
1681720076-923,,5.800 kr.,"Åbyhøj, Erik Bøghs vej",2 vær. · Lejlighed · 55 m²
1681720076-924,,10.900 kr.,"Aarhus V, Hammershusvej",4 vær. · Lejlighed · 103 m²
1681720076-925,,7.864 kr.,"Brabrand, Janesvej",4 vær. · Lejlighed · 120 m²
1681720076-926,,11.363 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 73 m²
1681720076-927,,12.250 kr.,"Aarhus C, Fiskergade",3 vær. · Lejlighed · 86 m²
1681720076-928,,6.495 kr.,"Aarhus N, Nordre Ringgade",2 vær. · Lejlighed · 60 m²
1681720076-929,,10.816 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 95 m²
1681720076-930,,12.206 kr.,"Aarhus C, Strandparken",4 vær. · Lejlighed · 112 m²
1681720076-931,,10.296 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 74 m²
1681720076-932,,10.456 kr.,"Aarhus C, Langelandsgade",3 vær. · Lejlighed · 73 m²
1681720076-933,,6.796 kr.,"Aarhus C, Skanderborgvej",2 vær. · Lejlighed · 62 m²
1681720076-934,,9.090 kr.,"Aarhus C, Nordborggade",3 vær. · Lejlighed · 85 m²
1681720076-935,,10.130 kr.,"Aarhus C, Strandparken",3 vær. · Lejlighed · 83 m²
1681720076-936,,9.806 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 82 m²
1681720076-937,,10.190 kr.,"Aarhus C, Hjortensgade",3 vær. · Lejlighed · 78 m²
1681720076-938,,3.500 kr.,"Aarhus N, Funch Thomsens Gade",1 vær. · Værelse · 16 m²
1681720076-939,,11.426 kr.,"Aarhus C, M.P. Bruuns Gade",3 vær. · Lejlighed · 91 m²
1681720076-940,,11.425 kr.,"Hørning, Elgårdsmindeparken",4 vær. · Rækkehus · 115 m²
1681720076-941,,3.500 kr.,"Aarhus N, Bodøvej",1 vær. · Værelse · 15 m²
1681720076-942,,3.300 kr.,"Viby J, Markvangen",1 vær. · Værelse · 13 m²
1681720076-943,,7.000 kr.,"Åbyhøj, J. Skjoldborgs Vej",2 vær. · Lejlighed · 62 m²
1681720076-944,,6.750 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 52 m²
1681720076-945,,12.995 kr.,"Aarhus C, Rudolph Wulffs Gade",4 vær. · Lejlighed · 101 m²
