web-scraper-order,price,address,type_rooms_kvm
1684829035-1,7.995,"Brendstrupgårdsvej, Aarhus N",Lejlighed / 3 vær. / 60 m2
1684829035-2,5.342,"Strandparken , Aarhus C",Lejlighed / 1 vær. / 48 m2
1684829035-3,5.600,"Skovvangsvej, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829035-4,7.944,"Fåborggade, Aarhus C",Lejlighed / 2 vær. / 56 m2
1684829035-5,4.700,"Assensgade, Aarhus C",Lejlighed / 1 vær. / 35 m2
1684829035-6,3.937,"Hjarnøgade, Aarhus C",Lejlighed / 1 vær. / 50 m2
1684829035-7,7.500,"Arresøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829035-8,6.700,"Eckersbergsgade, Aarhus C",Lejlighed / 2 vær. / 50 m2
1684829035-9,8.900,"Valdemarsgade, Aarhus C",Lejlighed / 3 vær. / 82 m2
1684829035-10,10.195,"Grønnegade, Aarhus C",Lejlighed / 3 vær. / 76 m2
1684829035-11,11.900,"Thit Jensens Gade, Aarhus C",Lejlighed / 4 vær. / 107 m2
1684829035-12,6.800,"Dannebrogsgade, Aarhus C",Lejlighed / 2 vær. / 49 m2
1684829035-13,12.300,"Banegårdspladsen, Aarhus C",Lejlighed / 3 vær. / 98 m2
1684829035-14,6.500,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829035-15,4.500,"Rudolph Wulffs Gade, Aarhus C",Værelse / 1 vær. / 91 m2
1684829039-16,4.955,"Thorvaldsensgade, Aarhus C",Værelse / 1 vær. / 8 m2
1684829039-17,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829039-18,10.920,"Fuglekærvej, Aarhus C",Hus / 5 vær. / 104 m2
1684829039-19,9.750,"Mejlgade, Aarhus C",Lejlighed / 3 vær. / 74 m2
1684829039-20,9.400,"Studsgade, Aarhus C",Lejlighed / 3 vær. / 81 m2
1684829039-21,10.775,"Skt. Pauls Kirkeplads, Aarhus C",Lejlighed / 4 vær. / 97 m2
1684829039-22,3.000,"Langelandsgade , Aarhus C",Værelse / 1 vær. / 10 m2
1684829039-23,7.995,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829039-24,5.800,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 52 m2
1684829039-25,8.900,"Vestre Ringgade, Aarhus C",Lejlighed / 3 vær. / 80 m2
