website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
Site A,2014,apartment,15950,116,8000,Søren Frichs Vej,Aarhus C,3
Site A,2014,apartment,14950,108,8000,Søren Frichs Vej,Aarhus C,3
Site A,2014,apartment,14200,118,8000,Thunøgade,Aarhus C,3
Site A,2014,apartment,13000,100,8200,Tordenskjoldsgade,Aarhus N,4
Site A,2014,apartment,13000,145,8000,Hendrik Pontoppidans Gade,Aarhus C,4
Site A,2014,apartment,13000,105,8000,Trepkasgade,Aarhus C,3
Site A,2014,apartment,12900,112,8000,Grønnegade,Aarhus C,4
Site A,2014,apartment,12000,101,8000,Skolegyde,Aarhus C,4
Site A,2014,apartment,11980,106,8000,Frederiksgade,Aarhus C,3
Site A,2014,apartment,11551,108,8000,Frederiksgade,Aarhus C,3
Site A,2014,apartment,11150,114,8000,Chr. Wærums Gade,Aarhus C,4
Site A,2014,apartment,11050,82,8000,Marianne Thomsens Gade,Aarhus C,2
Site A,2014,apartment,10900,113,8000,Borggade,Aarhus C,3
Site A,2014,apartment,10750,92,8000,Kirkegårdsvej,Aarhus C,3
Site A,2014,apartment,10750,118,8000,Østergade,Aarhus C,3
Site A,2014,apartment,10400,118,8270,Skåde Skovvej,Højbjerg,3
Site A,2014,apartment,10250,82,8000,Marianne Thomsens Gade,Aarhus C,2
Site A,2014,apartment,9500,99,8000,Assensgade,Aarhus C,4
Site A,2014,apartment,9500,76,8000,Hjelmensgade,Aarhus C,3
Site A,2014,apartment,9500,51,8000,Vestre Ringgade,Aarhus C,2
Site A,2014,apartment,9500,97,8000,Thorvaldsensgade,Aarhus C,3
Site A,2014,apartment,9475,95,8000,Vestergade,Aarhus C,3
Site A,2014,apartment,9250,95,8270,Emiliedalsvej,Højbjerg,3
Site A,2014,apartment,9200,89,8000,Frederiksgade,Aarhus C,3
Site A,2014,apartment,9167,74,8000,Østergade,Aarhus C,2
Site A,2014,apartment,9000,103,8000,Harald Skovbys Gade,Aarhus C,3
Site A,2014,apartment,9000,105,8000,Frederiks Allé,Aarhus C,3
Site A,2014,apartment,9000,84,8000,Haderslevgade,Aarhus C,3
Site A,2014,apartment,8975,85,8000,Stadion Allé,Aarhus C,3
Site A,2014,apartment,8942,83,8000,Langenæs Allé,Aarhus C,3
Site A,2014,apartment,8900,110,8000,Horsensgade,Aarhus C,3
Site A,2014,apartment,8820,75,8000,Frederiks Allé,Aarhus C,3
Site A,2014,apartment,8742,84,8000,Johannes Baunes Plads,Aarhus C,2
Site A,2014,apartment,8670,69,8200,Trøjborgvej,Aarhus N,2
Site A,2014,apartment,8615,88,8000,M. P. Bruuns Gade,Aarhus C,3
Site A,2014,apartment,8600,89,8240,Engholms Allé,Risskov,3
Site A,2014,apartment,8600,89,8220,Hoffmannsvej,Brabrand,3
Site A,2014,apartment,8525,78,8260,Søndervangs Alle,Viby J,3
Site A,2014,apartment,8500,80,8000,Falstersgade,Aarhus C,3
Site A,2014,apartment,8330,77,8000,Ny Munkegade,Aarhus C,2
Site A,2014,apartment,8200,62,8200,Margrethehøjparken,Aarhus N,2
