street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Abildhaven,Lystrup-Elsted,97.4,8325.0,Kildegården,Helenelyst,Kettinggårdsvej,Frodesvej,Stenaldervej,97.8,97.0,98.0,96.7,98.3,Holme-Højbjerg-Skåde,Brabrand-Gellerup,Harlev-Framlev,Åby,Tilst,5,"MULTILINESTRING ((575989.9739107745 6232500.192610225, 575984.3007698988 6232477.357258295, 575977.25881887 6232472.348277858, 575963.9665178647 6232464.069962885, 575944.6135213019 6232452.702276745), (576030.3950395137 6232578.936582117, 576021.4318067639 6232558.810678687, 576009.0630403198 6232550.7223250475, 575993.4948862889 6232516.899209645, 575989.9739107745 6232500.192610225), (575989.9739107745 6232500.192610225, 575958.5407523179 6232508.001020846, 575952.3975983174 6232504.311771782, 575941.6944924211 6232459.180958028, 575944.6135213019 6232452.702276745), (575944.6135213019 6232452.702276745, 575939.9051442088 6232448.843062277, 575931.2305160094 6232413.850184976, 575959.0519946642 6232368.399436344, 575951.5070471334 6232340.905032751), (575951.5070471334 6232340.905032751, 575939.575310437 6232343.4545138115, 575910.7148554008 6232324.688333613, 575904.34081776 6232295.564261734, 575907.6886305441 6232290.585275192, 575917.6743479867 6232288.095781921, 575925.870717217 6232293.004782708), (575951.5070471334 6232340.905032751, 575945.1495011811 6232311.001119606, 575942.4118808749 6232304.17250955, 575925.870717217 6232293.004782708))"
Aldersrovej,Universitetet/Kommunehospitalet,110.0,12455.0,Bugthusene,Teglværksgade,Enghavevej,Oddervej,Kræsten Iversens Vej,110.0,110.0,110.7,110.9,111.0,Skæring-Egå,Vestervang/Klostervang/Ø-gaderne,Viby,Holme-Højbjerg-Skåde,Holme-Højbjerg-Skåde,2,"MULTILINESTRING ((575169.7927620235 6225799.566503291, 575143.8678275568 6225805.165363659), (575227.5796388503 6225791.388167967, 575227.5750847686 6225791.387714579), (575227.5750847686 6225791.387714579, 575215.2273640948 6225790.158418279, 575209.9170403681 6225791.228200528, 575169.7927620235 6225799.566503291), (575253.9086196875 6225648.847181773, 575255.9453432286 6225660.804747845, 575255.9783266059 6225668.813117764, 575254.7167124286 6225675.011856029, 575239.6680465883 6225740.958432795, 575237.4911436941 6225749.486696891, 575227.5750847686 6225791.387714579), (575227.5750847686 6225791.387714579, 575212.671152363 6225854.365349145), (575212.671152363 6225854.365349145, 575207.1134533074 6225877.040733635), (575207.1134533074 6225877.040733635, 575199.9725521471 6225911.45372897, 575187.2657060869 6225960.68370835, 575181.1060603977 6225987.658217766, 575169.6608285148 6226031.279338813, 575160.252320173 6226074.790482246, 575145.739634212 6226136.777864894, 575140.9570445203 6226157.503646221, 575138.7059290274 6226168.12148499, 575137.8071319992 6226174.800125572, 575137.0732518568 6226183.1484263, 575136.1167339184 6226192.736474681, 575135.5560165064 6226201.974594288, 575135.3416245546 6226212.652420847, 575135.6961958593 6226223.330247406, 575137.2629062756 6226240.196814265, 575139.835609696 6226253.59408729, 575142.6309509124 6226266.461468171, 575143.8760734011 6226271.640414012), (575212.671152363 6225854.365349145, 575203.4110692185 6225852.155798892, 575159.5596692521 6225841.91788279), (575207.1134533074 6225877.040733635, 575164.9359597332 6225867.512673045))"
Amaliegade,Fredens Torv,150.6,11245.3125,Gebauersgade,Esther Aggebos Gade,L.P. Bechs Vej,Tage-Hansens Gade,Skt. Nicolaus Gade,150.9,151.0,150.0,150.0,150.0,Rådhuskvarteret,De Bynære Havnearealer/Aarhus Ø,Vejlby-Risskov,Botanisk Have/Amtssygehuset,Rådhuskvarteret,16,"LINESTRING (574980.3857185433 6223875.698101141, 574957.676663352 6223792.4250511285, 574945.340880285 6223747.834127482)"
Ankersgade,Frederiksbjerg Vest,83.0,7900.0,Skolevangs Alle,Edwin Rahrs Vej,Østergårdsvej,Åbovej,Bredgade,83.0,82.5,81.5,81.0,86.0,Vejlby-Risskov,Brabrand-Gellerup,Solbjerg,Stavtrup-Ormslev,Beder-Malling,1,"LINESTRING (574145.0651996648 6223271.101165098, 574129.5382748554 6223260.563310048, 574128.4828067855 6223257.0040345285, 574126.5780167531 6223255.364368278, 574123.9970674884 6223254.974447645, 574121.4655932895 6223256.324172912, 574118.8186772704 6223256.794077264, 574115.2729642232 6223255.3143784525, 574061.5595344787 6223208.46391473, 574053.849670062 6223201.985233447, 574047.195273715 6223194.036851317, 574044.6637995162 6223198.285986417, 574038.7102999344 6223201.985233447, 574032.5589000895 6223201.415349444, 573879.1614586501 6223169.341877907, 573801.9473726619 6223153.825036315, 573740.3096865489 6223139.487954587)"
Arnegårdsvej,Åby,141.5,4485.0,H.N. Clausens Gade,Montanagade,Dr. Holsts Vej,Vestervang,Skovvejen,141.2,141.0,142.0,140.7,140.5,Frederiksbjerg Øst,Frederiksbjerg Øst,Hasle,Vestervang/Klostervang/Ø-gaderne,Nordre Kirkegård,2,"LINESTRING (571244.4987642419 6223495.125565579, 571270.6710740377 6223469.120858762, 571299.1687119248 6223441.696440923, 571329.0269141208 6223413.222236765, 571381.5199589095 6223362.812497522, 571412.5160876183 6223332.698627112, 571420.2094603465 6223326.059978391, 571514.0554142798 6223235.54840176, 571596.9591328324 6223156.3245275505, 571656.2055240994 6223099.995993061, 571665.3419195794 6223090.008026083, 571719.9706380408 6223038.018608378)"
Arresøvej,Vejlby-Risskov,130.4,7539.948356807512,Guldsmedgade,Hjortensgade,Bissensgade,Eckersbergsgade,Banegårdsgade,130.2,130.0,130.0,130.0,131.0,Nørregade,Botanisk Have/Amtssygehuset,Ceresbyen/Godsbanen,Rådhuskvarteret,Rådhuskvarteret,213,"MULTILINESTRING ((576740.7003130197 6229259.462251517, 576723.4500067524 6229259.922157905, 576612.6835803236 6229274.979093109, 576497.8519526568 6229290.185997788, 576494.4299272739 6229290.995832948, 576489.9359421326 6229292.6055053035, 576485.854249206 6229294.225175625, 576479.3730155893 6229297.63448167, 576473.708120558 6229302.093574035, 576471.0199753174 6229304.003185339, 576467.7381292876 6229307.602452719, 576463.598715451 6229312.491457576, 576460.424065397 6229317.530431908, 576451.2381948512 6229337.486369934, 576436.1977748552 6229372.739194323), (576436.1977748552 6229372.739194323, 576404.9625166617 6229444.214645701), (576404.9625166617 6229444.214645701, 576400.344843856 6229454.862478366), (576400.344843856 6229454.862478366, 576369.6950406076 6229526.26794399), (576369.6950406076 6229526.26794399, 576359.6268647221 6229549.293257254), (576359.6268647221 6229549.293257254, 576333.1577045318 6229610.860725374), (576333.1577045318 6229610.860725374, 576316.369165545 6229648.872988088), (576333.1577045318 6229610.860725374, 576253.5275861648 6229576.807656778), (576369.6950406076 6229526.26794399, 576318.1172845358 6229503.992478097), (576436.1977748552 6229372.739194323, 576504.877411997 6229363.121152048), (576400.344843856 6229454.862478366, 576484.51842243 6229490.4052437395), (576404.9625166617 6229444.214645701, 576346.730364243 6229418.309918534), (576359.6268647221 6229549.293257254, 576407.8732996982 6229569.059233947, 576442.8934004236 6229583.40631364))"
Asmusgårdsvej,Lystrup-Elsted,90.0,6500.0,Fredens Torv,Holmkærvej,Emmasvej,Espedalen,Hjarnøgade,90.0,90.5,89.3,89.0,91.0,Fredens Torv,Trige-Spørring,Brabrand-Gellerup,Vejlby-Risskov,Vestervang/Klostervang/Ø-gaderne,1,"MULTILINESTRING ((576454.1159945105 6234163.1041293945, 576573.36739472 6234194.937649773, 576606.5651638559 6234203.6958670635, 576841.505759539 6234273.171725454, 576914.7783319537 6234297.066861668, 576918.9754667004 6234298.4165869355), (576918.9754667004 6234298.4165869355, 576924.0219234095 6234300.166230801, 577117.6755767022 6234366.762675286, 577142.0420465971 6234371.7116679335, 577167.3980178074 6234373.501303658, 577192.7622348621 6234372.511505129, 577222.282357442 6234366.962634585, 577248.4299297048 6234358.044449856, 577266.8511458621 6234348.736344494, 577276.5647504429 6234342.787555353, 577288.5871914264 6234334.249293291, 577298.3832544502 6234326.060960003), (577298.3832544502 6234326.060960003, 577310.240778548 6234314.853241302, 577330.4513429175 6234290.8881193325, 577343.5210061268 6234269.292515055, 577352.6656474511 6234248.416764255), (576918.9754667004 6234298.4165869355, 576922.7108341665 6234285.749165352, 576924.4754448459 6234278.670606173, 576930.552632092 6234244.377586417, 576936.7617528469 6234207.2551425835, 576940.0518447211 6234186.489369396, 576943.1275446435 6234156.205533584, 576946.2197362545 6234118.763154872, 576948.5945394117 6234092.888421599, 576949.633515793 6234081.4007598795, 576951.356897251 6234062.984508454, 576951.2661929637 6234052.0867266655, 576950.3756417797 6234043.598454429, 576947.9018884909 6234034.320342962, 576943.473870104 6234024.332375984, 576937.042111553 6234012.344816017, 576932.9026977164 6234003.076702515, 576931.4019540545 6233998.167701728, 576930.3382401404 6233990.529256511, 576929.9341937698 6233984.470489755, 576930.024898057 6233979.091584615, 576930.5361404034 6233972.762872807, 576947.0195831512 6233976.762058784, 576952.6927240269 6233977.871832892, 576958.4483233455 6233978.411723, 577027.4000733491 6233974.212577724), (577285.4620164383 6234173.961919323, 577290.7063734105 6234174.271856236, 577321.0923096415 6234177.671164317), (577201.420371373 6234221.472248733, 577204.3146627209 6234191.498349833), (577204.3146627209 6234191.498349833, 577206.5327948364 6234174.131884727, 577208.4623224018 6234155.195739125), (577204.3146627209 6234191.498349833, 577165.2376066019 6234187.60914147), (577201.420371373 6234221.472248733, 577196.3739146638 6234269.682435689), (577014.9818318392 6234281.490032286, 577037.28684066 6234288.908522274, 577085.2446710858 6234304.855276358, 577089.1532012823 6234305.045237692, 577091.9732800315 6234303.855479864, 577092.6494392637 6234301.066047645, 577107.8217927684 6234256.765064982), (577352.6656474511 6234248.416764255, 577338.8126290337 6234241.928085006, 577313.4978870448 6234233.539792419, 577306.8022614764 6234232.200065116, 577279.1127163303 6234227.980923911), (577279.1127163303 6234227.980923911, 577264.6989805008 6234227.790962577), (577264.6989805008 6234227.790962577, 577252.4786392541 6234226.581208819, 577201.420371373 6234221.472248733), (577264.6989805008 6234227.790962577, 577263.7259708738 6234236.069277549, 577261.3676594052 6234262.333931455, 577261.2730678627 6234263.109603811), (577261.2730678627 6234263.109603811, 577257.6075544063 6234293.16765534, 577256.1562858102 6234303.70551039, 577226.5619506316 6234321.441900199), (577261.0378256334 6234263.083778826, 577261.2730678627 6234263.109603811), (577261.2730678627 6234263.109603811, 577271.2379350276 6234264.203550899, 577293.7161065786 6234266.703042136), (577279.1127163303 6234227.980923911, 577285.4620164383 6234173.961919323), (577285.4620164383 6234173.961919323, 577286.2948467121 6234161.744406162), (576999.3642027426 6234325.571059721, 577014.9818318392 6234281.490032286), (577014.9818318392 6234281.490032286, 576998.51488078 6234275.881173953, 576978.9310005769 6234269.572458074, 576976.481984821 6234267.022977013, 576975.2945832424 6234264.833422691, 576986.2203269346 6234207.385116127, 576990.5576410344 6234185.069658374, 576992.5696270426 6234162.094334935, 576994.4084503206 6234132.280403474, 576995.1093470858 6234128.251223602, 577004.1220549013 6234128.1212500585), (577298.3832544502 6234326.060960003, 577306.9671783624 6234332.769594479, 577340.5030271144 6234357.854488522))"
Assensgade,Frederiksbjerg Øst,120.0,9625.0,Carl Blochs Gade,Søvej,Tåsingegade,Knudrisgade,Jelshøjvej,120.0,120.0,120.0,120.0,120.0,Ceresbyen/Godsbanen,Brabrand-Gellerup,Skejby-Christiansbjerg,Østbanetorvet/Nørre Stenbro,Mårslet,4,"LINESTRING (574909.966208255 6222665.78437558, 574893.8538285005 6222657.925975135, 574880.1327435919 6222651.837214485, 574863.1215668091 6222645.298545412, 574838.2603462565 6222638.609906864, 574822.1891957235 6222636.540328122, 574802.8197074721 6222634.2208002545, 574791.1683294819 6222632.0612398265, 574780.4569777412 6222630.49155933, 574764.4188105854 6222627.07225532, 574735.8469600996 6222619.9137124205, 574715.5127080656 6222614.084898859, 574703.407808639 6222609.965737303, 574695.1289809657 6222606.336476028)"
Augustenborggade,Viby,121.0,8900.0,Egå Møllevej,Havkærvej,Skejbyparken,Pollenvænget,Stadion Alle,121.0,121.0,120.9,120.7,120.7,Skæring-Egå,Tilst,Skejby-Christiansbjerg,Tilst,Frederiksbjerg Vest,1,"MULTILINESTRING ((573455.0117197499 6222919.232786889, 573462.927730274 6222910.434577739, 573466.0693969509 6222906.525373446, 573468.3040207551 6222900.826533428, 573468.4194625752 6222895.087701552, 573468.4854293296 6222879.840805013, 573467.9412036061 6222803.446354882, 573417.5261115801 6222803.536336566, 573416.6685437732 6222761.934804439), (573395.8477869257 6222862.594315486, 573395.575674064 6222862.694295135, 573395.7417931351 6222862.496146285), (573395.7417931351 6222862.496146285, 573405.2315577347 6222851.176639521, 573403.6648473183 6222740.67913097), (573347.0736179146 6222780.97092969, 573345.9851664675 6222741.34899462, 573346.1748208863 6222684.800504902), (573657.5461473494 6223078.720323662, 573642.6541525507 6223069.592181669, 573603.4121795458 6223040.068191192, 573577.6686536536 6223021.232025239, 573558.934095413 6223007.594801056, 573530.1808363526 6222984.92941453, 573511.8750620155 6222969.542546483), (573511.8750620155 6222969.542546483, 573474.8347294376 6222937.209127856, 573455.0117197499 6222919.232786889), (573455.0117197499 6222919.232786889, 573395.8477869257 6222862.594315486), (573395.8477869257 6222862.594315486, 573395.7417931351 6222862.496146285), (573395.7417931351 6222862.496146285, 573362.8479180529 6222832.030536654, 573344.8554857989 6222813.104389017, 573337.252817358 6222804.566126956), (573337.252817358 6222804.566126956, 573329.2048733251 6222794.898094856, 573325.3128348173 6222789.079279259, 573316.4155688218 6222774.76219346, 573304.3848819939 6222751.98682932, 573295.504107687 6222736.789922606, 573280.3070166495 6222729.101487565, 573275.8047856638 6222725.362248676, 573272.1766141736 6222720.643209223, 573268.0042169597 6222714.26450759, 573265.3655467851 6222708.115759149, 573263.60918195 6222700.647279337, 573262.6196806345 6222691.639112923, 573261.9600130907 6222681.64114798, 573262.1826508867 6222670.223472015, 573263.60918195 6222661.215305601, 573265.810822377 6222655.496469653, 573267.9217585168 6222650.957393569, 573272.9929527589 6222641.93922919), (573511.8750620155 6222969.542546483, 573515.6846420802 6222964.093655589, 573518.323312255 6222961.494184704, 573523.0646727252 6222960.044479786, 573534.0728748604 6222963.143848919, 573575.7968469984 6222973.4717467055, 573587.7533212277 6222976.361158574, 573600.8064927483 6222983.24975642), (573337.252817358 6222804.566126956, 573346.0923624433 6222794.818111137, 573347.3704683093 6222789.989094069, 573347.0736179146 6222780.97092969))"
Baldersgade,Åby,125.8,11066.315789473685,Jægergårdsgade,Lundbyesgade,Chr. Kiers Plads,Lyøgade,Nørreport,125.9,126.0,126.0,126.0,126.0,Frederiksbjerg Øst,Ceresbyen/Godsbanen,Frederiksbjerg Vest,Skejby-Christiansbjerg,Nørregade,19,"LINESTRING (572763.0122205811 6223412.822318167, 572763.9687385194 6223415.90169137, 572746.4793027674 6223470.890498557)"
